variant,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,oldest2_acc_mean,recent2_acc_mean,context_top1_mean,context_oldest2_mean,context_recent2_mean,confident_recent_collapse_rate_mean,collapse_veto_rate_mean,zero_recall_classes_mean,min_class_recall_mean,effective_hosts_mean,max_route_dominance_mean,avg_forgetting_mean,duration_sec_mean
current_context_ema,0.264625,0.04741150967855804,0.018500000000000003,0.028624999999999998,0.36787499999999995,0.6208,0.0,1.0,0.207125,0.0,5.0,0.0,2.7071841299533843,0.9128957688808441,0.19947222222222222,368.7156447172165
deployed_posterior_distill,0.296075,0.029097444045826443,0.032,0.047625,0.384125,0.68455,0.032,1.0,0.07802500000000001,0.0,3.0,0.0,3.0106601655483245,0.7895406484603882,0.1805277777777778,368.76887488365173
legacy_reference,0.284375,3.535533905932348e-05,0.013,0.046875,0.39475,0.6512,0.0,1.0,0.12440000000000001,0.0,4.0,0.0,3.0098259508609773,0.6777883470058441,0.20122222222222225,303.44135296344757
oracle_blend_diagnostic,0.322275,0.010500535700620251,0.077,0.13674999999999998,0.39937500000000004,1.0,1.0,1.0,0.0,0.0,0.5,0.00625,2.994754356145859,0.8868298530578613,0.15244444444444444,301.7863073348999
stable_plastic_plus_distill,0.28755,0.03139554108468277,0.059,0.093625,0.34249999999999997,0.47879999999999995,0.21037499999999998,0.48550000000000004,0.12115,0.05875,1.0,0.0,3.931190538406372,0.5560481399297714,0.1378611111111111,572.7801833152771
